Path,Model,Prompt,Language,Samples,Jaccard,Micro F1,Macro F1,Precision,Recall,Hamming,F1_anger,F1_anticipation,F1_disgust,F1_fear,F1_joy,F1_sadness,F1_surprise,F1_trust
predictions/qlora_predictions_RU_r8_a16.json,QLoRA,unknown,RU,357,0.33940242763772177,0.39501039501039503,0.3786810045322102,0.4302054154995331,0.4042950513538749,0.20378151260504201,0.47058823529411764,0.42,0.2857142857142857,0.36065573770491804,0.4918032786885246,0.3826086956521739,0.2391304347826087,0.37894736842105264
predictions/qlora_predictions_CZ_r16_a8.json,QLoRA,unknown,CZ,977,0.3421187308085977,0.4125624553890079,0.39951476262865804,0.4274479699761174,0.42386557488911636,0.21059365404298874,0.51171875,0.42911877394636017,0.35833333333333334,0.3219178082191781,0.5137614678899083,0.4025974025974026,0.31543624161073824,0.3432343234323432
predictions/qlora_predictions_EN_r8_a16.json,QLoRA,unknown,EN,2630,0.5562927756653993,0.572502348888193,0.5715912663911621,0.6316666666666667,0.593168567807351,0.12975285171102663,0.5796344647519582,0.5467479674796748,0.5446009389671361,0.6080691642651297,0.6400996264009963,0.6091794158553546,0.5135520684736091,0.5308464849354376
predictions/qlora_predictions_VNM_r16_a16.json,QLoRA,unknown,VNM,144,0.2690972222222222,0.3208020050125313,0.3097964399313641,0.3576388888888889,0.32060185185185186,0.23524305555555555,0.25,0.3939393939393939,0.15789473684210525,0.21428571428571427,0.4067796610169492,0.42857142857142855,0.3111111111111111,0.3157894736842105
predictions/qlora_predictions_MULTI_r16_a16.json,QLoRA,unknown,MULTI,4108,0.4972382575230676,0.5250804467158812,0.5171533044810703,0.5766779106968981,0.5491074326517364,0.15268987341772153,0.5740551583248212,0.5289351851851852,0.4227979274611399,0.5106007067137809,0.6047244094488189,0.5545378850957535,0.45201793721973094,0.48955722639933164
predictions/qlora_predictions_MULTI_r8_a16.json,QLoRA,unknown,MULTI,4108,0.4897180878193536,0.5191385309884322,0.5107482459685828,0.5710999443594381,0.5467543005517689,0.15558057448880233,0.5674740484429066,0.537279453614115,0.4301964839710445,0.5,0.5739692805173807,0.5335542667771334,0.4484629294755877,0.49504950495049505
predictions/lora_predictions_VNM.json,LoRA,unknown,VNM,144,0.13773148148148148,0.15503875968992248,0.14072372377684783,0.17939814814814817,0.14814814814814814,0.2838541666666667,0.15151515151515152,0.17647058823529413,0.0,0.09523809523809523,0.18604651162790697,0.20408163265306123,0.13333333333333333,0.1791044776119403
predictions/qlora_predictions_RU_r16_a16.json,QLoRA,unknown,RU,357,0.32082166199813256,0.3853211009174312,0.3719420673535732,0.4017273576097106,0.3968253968253968,0.2111344537815126,0.3821656050955414,0.4433497536945813,0.3291139240506329,0.3728813559322034,0.49586776859504134,0.39655172413793105,0.29473684210526313,0.2608695652173913
predictions/qlora_predictions_VNM_r8_a16.json,QLoRA,unknown,VNM,144,0.32002314814814814,0.37346437346437344,0.36059511523907806,0.40856481481481477,0.3952546296296296,0.22135416666666666,0.4126984126984127,0.3684210526315789,0.2222222222222222,0.29411764705882354,0.47619047619047616,0.4444444444444444,0.3333333333333333,0.3333333333333333
predictions/qlora_predictions_EN_r16_a16.json,QLoRA,unknown,EN,2630,0.5511230309614341,0.5728940006216973,0.5705248406440004,0.6266933731667572,0.5956210392902407,0.1306083650190114,0.5905245346869712,0.5571725571725572,0.5119236883942766,0.5870786516853933,0.6342710997442456,0.6066481994459834,0.5251396648044693,0.551440329218107
predictions/lora_predictions_MULTI.json,LoRA,unknown,MULTI,4108,0.27882586822460237,0.305442572147976,0.2921804337457991,0.33584469328140215,0.30877555988315475,0.21823271665043817,0.38095238095238093,0.32936979785969084,0.21155943293347873,0.24496937882764655,0.3771331058020478,0.2820069204152249,0.2289039767216295,0.28254847645429365
predictions/qlora_predictions_VNM_r16_a8.json,QLoRA,unknown,VNM,144,0.265625,0.3037974683544304,0.29308699919203934,0.35995370370370366,0.29629629629629634,0.2387152777777778,0.24561403508771928,0.3333333333333333,0.2962962962962963,0.24242424242424243,0.38596491228070173,0.3181818181818182,0.15,0.3728813559322034
predictions/lora_predictions_EN.json,LoRA,unknown,EN,2630,0.5342395437262358,0.5478621569878749,0.5446917069010331,0.6095373891001267,0.5599746514575411,0.1346958174904943,0.5594405594405595,0.5529767911200807,0.4792332268370607,0.5502183406113537,0.6206896551724138,0.5651537335285505,0.48411497730711045,0.5457063711911357
predictions/qlora_predictions_MULTI_r16_a8.json,QLoRA,unknown,MULTI,4108,0.48924282468586267,0.5166886667923817,0.5088265194026649,0.5694521723002736,0.5466812723141836,0.1559761441090555,0.5707121364092277,0.5175936435868331,0.4188376753507014,0.4913871260199456,0.592948717948718,0.5431893687707641,0.45201793721973094,0.48392554991539766
predictions/qlora_predictions_CZ_r16_a16.json,QLoRA,unknown,CZ,977,0.35989423404981236,0.4262526464361327,0.4074603373724733,0.448805868304333,0.4435346298191743,0.20803480040941658,0.5160075329566854,0.48608534322820035,0.2773109243697479,0.375886524822695,0.5031055900621118,0.4169381107491857,0.31645569620253167,0.36789297658862874
predictions/lora_predictions_CZ.json,LoRA,unknown,CZ,977,0.1674002047082907,0.21110299488677867,0.18278946334517732,0.22603207096554076,0.2094848174684408,0.27635619242579323,0.3431542461005199,0.28846153846153844,0.12222222222222222,0.15015015015015015,0.16891891891891891,0.12213740458015267,0.1444043321299639,0.12286689419795221
