Path,Model,Language,Samples,Jaccard,Micro F1,Macro F1,Precision,Recall,Hamming,F1_anger,F1_anticipation,F1_disgust,F1_fear,F1_joy,F1_sadness,F1_surprise,F1_trust
predictions/few_shot/predictions_cz.json,Few-shot Prompting,CZ,977,0.2777087293463957,0.35858585858585856,0.3504971310091145,0.34094165813715455,0.40678949164107814,0.2599795291709314,0.3801295896328294,0.39398496240601505,0.29333333333333333,0.3413173652694611,0.34146341463414637,0.3879093198992443,0.32492997198879553,0.3409090909090909
predictions/few_shot/predictions_en.json,Few-shot Prompting,EN,2630,0.40524714828897335,0.4770687323250953,0.4829258526377959,0.44821926489226865,0.6082572877059569,0.20213878326996199,0.5438735177865612,0.4108606557377049,0.4502262443438914,0.5132978723404256,0.544611819235226,0.5536332179930796,0.4281842818428184,0.4187192118226601
predictions/few_shot/predictions_multi.json,Few-shot Prompting,MULTI,4108,0.35086474706727866,0.4233119222935924,0.42442213959221226,0.40368792599805253,0.5217867575462513,0.2240141187925998,0.47286012526096033,0.3967446592065107,0.3914120561519405,0.42528735632183906,0.49490994518402504,0.46562287270251873,0.375497215592681,0.3730428863172226
predictions/few_shot/predictions_ru.json,Few-shot Prompting,RU,357,0.30350140056022407,0.38979963570127507,0.38145545306076545,0.35873015873015873,0.4481792717086835,0.234593837535014,0.36231884057971014,0.416,0.3142857142857143,0.3130434782608696,0.42592592592592593,0.46357615894039733,0.39285714285714285,0.36363636363636365
predictions/few_shot/predictions_vnm.json,Few-shot Prompting,VNM,144,0.2491898148148148,0.3184713375796178,0.3060276223167126,0.29988425925925927,0.4045138888888889,0.2786458333333333,0.2711864406779661,0.3404255319148936,0.17142857142857143,0.27450980392156865,0.32558139534883723,0.42857142857142855,0.27586206896551724,0.36065573770491804
predictions/instruction-based/predictions_cz.json,Instruction-based Prompting,CZ,977,0.260474240873422,0.3248847926267281,0.3097626149048179,0.33623336745138177,0.3113613101330604,0.22492323439099285,0.2926829268292683,0.3763213530655391,0.2119205298013245,0.2974683544303797,0.35374149659863946,0.3873684210526316,0.2553191489361702,0.30327868852459017
predictions/instruction-based/predictions_en.json,Instruction-based Prompting,EN,2630,0.4196641318124208,0.4829246276515721,0.46618810514006603,0.47588719898605825,0.5101774397972116,0.16335551330798478,0.5275109170305677,0.46503496503496505,0.36594202898550726,0.4852941176470588,0.6042154566744731,0.559915164369035,0.3392857142857143,0.382306477093207
predictions/instruction-based/predictions_multi.json,Instruction-based Prompting,MULTI,4108,0.36597753512310477,0.42899211551249167,0.4154727544631697,0.4292321602448185,0.4422995780590717,0.18290530671859787,0.4517675254643499,0.4215633423180593,0.3368146214099217,0.42391304347826086,0.5231481481481481,0.49910873440285203,0.31275720164609055,0.35470941883767537
predictions/instruction-based/predictions_ru.json,Instruction-based Prompting,RU,357,0.26237161531279174,0.3325942350332594,0.30751928648564625,0.33286647992530344,0.31559290382819793,0.2107843137254902,0.3063063063063063,0.3157894736842105,0.2608695652173913,0.37168141592920356,0.37383177570093457,0.44559585492227977,0.1388888888888889,0.24719101123595505
predictions/instruction-based/predictions_vnm.json,Instruction-based Prompting,VNM,144,0.2864583333333333,0.33962264150943394,0.3144434491955235,0.3715277777777778,0.3315972222222222,0.2126736111111111,0.18181818181818182,0.3389830508474576,0.16666666666666666,0.32653061224489793,0.5098039215686274,0.463768115942029,0.2926829268292683,0.23529411764705882
predictions/lora_predictions_CZ_r16_a16.json,LoRA,CZ,977,0.3477652678266803,0.40189642596644787,0.368542354018062,0.43810986011600134,0.41383486864551355,0.2098259979529171,0.5175292153589316,0.44482173174872663,0.2912621359223301,0.2682926829268293,0.49693251533742333,0.35471698113207545,0.23770491803278687,0.33707865168539325
predictions/lora_predictions_CZ_r16_a32.json,LoRA,CZ,977,0.340371399327387,0.3954428518926865,0.3579055135968715,0.4355778135204952,0.3960593654042989,0.21046571136131012,0.5153374233128835,0.461839530332681,0.24770642201834864,0.2900763358778626,0.4966887417218543,0.32941176470588235,0.20353982300884957,0.31864406779661014
predictions/lora_predictions_CZ_r16_a64.json,LoRA,CZ,977,0.31580640444509434,0.3765867418899859,0.35360704886920596,0.397338792221085,0.4012964858410099,0.2262026612077789,0.5066666666666667,0.40950639853747717,0.28125,0.26277372262773724,0.41025641025641024,0.31654676258992803,0.2896551724137931,0.3522012578616352
predictions/lora_predictions_CZ_r16_a8.json,LoRA,CZ,977,0.3541282838621631,0.4004533434076313,0.3688501083233213,0.45820539065165466,0.39984646878198565,0.20304503582395086,0.5207956600361664,0.4245810055865922,0.19428571428571428,0.2845849802371542,0.4935897435897436,0.42033898305084744,0.25384615384615383,0.35877862595419846
predictions/lora_predictions_CZ_r32_a16.json,LoRA,CZ,977,0.35344592289321053,0.4072565716401333,0.3796327482646129,0.45448652337086315,0.41417604912998973,0.20483623336745138,0.5207956600361664,0.43920145190562615,0.27586206896551724,0.33707865168539325,0.4968553459119497,0.3719298245614035,0.22033898305084745,0.375
predictions/lora_predictions_CZ_r32_a32.json,LoRA,CZ,977,0.23480040941658134,0.3288850624192854,0.3109320049959463,0.3001535312180143,0.2781473899692938,0.19946264073694986,0.42916666666666664,0.3632075471698113,0.25,0.325,0.37551020408163266,0.3053435114503817,0.20535714285714285,0.23387096774193547
predictions/lora_predictions_CZ_r32_a64.json,LoRA,CZ,977,0.29085636301603546,0.35943325876211785,0.3359279070812437,0.3646878198567042,0.3597577618560219,0.21980552712384852,0.47335423197492166,0.37636761487964987,0.23673469387755103,0.28346456692913385,0.4659498207885305,0.3104693140794224,0.2585551330798479,0.2825278810408922
