Path,Model,Language,Samples,Jaccard,Micro F1,Macro F1,Precision,Recall,Hamming,F1_anger,F1_anticipation,F1_disgust,F1_fear,F1_joy,F1_sadness,F1_surprise,F1_trust
predictions/few_shot/predictions_cz.json,Few-shot Prompting,CZ,977,0.2777087293463957,0.35858585858585856,0.3504971310091145,0.34094165813715455,0.40678949164107814,0.2599795291709314,0.3801295896328294,0.39398496240601505,0.29333333333333333,0.3413173652694611,0.34146341463414637,0.3879093198992443,0.32492997198879553,0.3409090909090909
predictions/few_shot/predictions_en.json,Few-shot Prompting,EN,2630,0.40524714828897335,0.4770687323250953,0.4829258526377959,0.44821926489226865,0.6082572877059569,0.20213878326996199,0.5438735177865612,0.4108606557377049,0.4502262443438914,0.5132978723404256,0.544611819235226,0.5536332179930796,0.4281842818428184,0.4187192118226601
predictions/few_shot/predictions_multi.json,Few-shot Prompting,MULTI,4108,0.35086474706727866,0.4233119222935924,0.42442213959221226,0.40368792599805253,0.5217867575462513,0.2240141187925998,0.47286012526096033,0.3967446592065107,0.3914120561519405,0.42528735632183906,0.49490994518402504,0.46562287270251873,0.375497215592681,0.3730428863172226
predictions/few_shot/predictions_ru.json,Few-shot Prompting,RU,357,0.30350140056022407,0.38979963570127507,0.38145545306076545,0.35873015873015873,0.4481792717086835,0.234593837535014,0.36231884057971014,0.416,0.3142857142857143,0.3130434782608696,0.42592592592592593,0.46357615894039733,0.39285714285714285,0.36363636363636365
predictions/few_shot/predictions_vnm.json,Few-shot Prompting,VNM,144,0.2491898148148148,0.3184713375796178,0.3060276223167126,0.29988425925925927,0.4045138888888889,0.2786458333333333,0.2711864406779661,0.3404255319148936,0.17142857142857143,0.27450980392156865,0.32558139534883723,0.42857142857142855,0.27586206896551724,0.36065573770491804
predictions/instruction-based/predictions_cz.json,Instruction-based Prompting,CZ,977,0.260474240873422,0.3248847926267281,0.3097626149048179,0.33623336745138177,0.3113613101330604,0.22492323439099285,0.2926829268292683,0.3763213530655391,0.2119205298013245,0.2974683544303797,0.35374149659863946,0.3873684210526316,0.2553191489361702,0.30327868852459017
predictions/instruction-based/predictions_en.json,Instruction-based Prompting,EN,2630,0.4196641318124208,0.4829246276515721,0.46618810514006603,0.47588719898605825,0.5101774397972116,0.16335551330798478,0.5275109170305677,0.46503496503496505,0.36594202898550726,0.4852941176470588,0.6042154566744731,0.559915164369035,0.3392857142857143,0.382306477093207
predictions/instruction-based/predictions_multi.json,Instruction-based Prompting,MULTI,4108,0.36597753512310477,0.42899211551249167,0.4154727544631697,0.4292321602448185,0.4422995780590717,0.18290530671859787,0.4517675254643499,0.4215633423180593,0.3368146214099217,0.42391304347826086,0.5231481481481481,0.49910873440285203,0.31275720164609055,0.35470941883767537
predictions/instruction-based/predictions_ru.json,Instruction-based Prompting,RU,357,0.26237161531279174,0.3325942350332594,0.30751928648564625,0.33286647992530344,0.31559290382819793,0.2107843137254902,0.3063063063063063,0.3157894736842105,0.2608695652173913,0.37168141592920356,0.37383177570093457,0.44559585492227977,0.1388888888888889,0.24719101123595505
predictions/instruction-based/predictions_vnm.json,Instruction-based Prompting,VNM,144,0.2864583333333333,0.33962264150943394,0.3144434491955235,0.3715277777777778,0.3315972222222222,0.2126736111111111,0.18181818181818182,0.3389830508474576,0.16666666666666666,0.32653061224489793,0.5098039215686274,0.463768115942029,0.2926829268292683,0.23529411764705882
predictions/lora_predictions_CZ_r16_a16-2.json,LoRA,CZ,977,0.34720232002729445,0.4107334525939177,0.38928000966688925,0.44820880245649947,0.42483793926987373,0.21072159672466734,0.5338208409506399,0.4591439688715953,0.23236514522821577,0.29900332225913623,0.49158249158249157,0.42244224422442245,0.3277591973244147,0.34812286689419797
predictions/lora_predictions_CZ_r16_a32.json,LoRA,CZ,977,0.36533849978066973,0.42619469026548673,0.411956372114,0.4552566164643953,0.44237461617195495,0.20739508700102355,0.5444646098003629,0.41365461847389556,0.31666666666666665,0.3717948717948718,0.49504950495049505,0.4369230769230769,0.33676975945017185,0.380327868852459
predictions/lora_predictions_CZ_r16_a64.json,LoRA,CZ,977,0.3571233611151728,0.41339575081022684,0.39502798130620875,0.4488570453770044,0.43657454793585804,0.20841862845445241,0.519434628975265,0.4376278118609407,0.3148936170212766,0.3443223443223443,0.4394904458598726,0.41423948220064727,0.2695035460992908,0.42071197411003236
predictions/lora_predictions_CZ_r16_a8.json,LoRA,CZ,977,0.34952356582346344,0.40353982300884955,0.38744753774020446,0.4349722181605498,0.42424087342204025,0.21558341862845445,0.5045372050816697,0.42588726513569936,0.256198347107438,0.35555555555555557,0.46153846153846156,0.4492307692307692,0.28852459016393445,0.3581081081081081
predictions/lora_predictions_CZ_r32_a16.json,LoRA,CZ,977,0.34520641419310816,0.40711743772241993,0.388730624833032,0.43722279085636295,0.4251450017059024,0.2131525076765609,0.5150976909413855,0.44668008048289737,0.275,0.3691275167785235,0.4527027027027027,0.391304347826087,0.26936026936026936,0.39057239057239057
predictions/lora_predictions_CZ_r32_a32.json,LoRA,CZ,977,0.35939464834040064,0.4226254002134472,0.40299138653572397,0.4520665789345421,0.4409245991129307,0.20765097236438076,0.5541284403669725,0.439918533604888,0.2956521739130435,0.37341772151898733,0.4634920634920635,0.44108761329305135,0.2736842105263158,0.3825503355704698
